file,layer,records,completeness_percent,quality_issues,invalid_coordinates,missing_municipality,exact_duplicate_suspects
أطلس_ليبيا_السياحي_2026_طبقة_الفنادق.xlsx,الفنادق,614,88.4,434,7,413,0
أطلس_ليبيا_السياحي_2026_طبقة_القرى_والمنتجعات_السياحية.xlsx,القرى والمنتجعات,366,83.8,358,0,355,3
أطلس_ليبيا_السياحي_2026_طبقة_المطاعم.xlsx,المطاعم,348,86.9,276,0,274,2
أطلس_ليبيا_السياحي_2026_طبقة_المقاهي.xlsx,المقاهي,381,88.3,268,0,268,0
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,الإيواء السياحي,1010,87.0,816,7,773,22
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,الفنادق,664,88.8,470,7,431,18
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,قرى ومنتجعات,366,83.8,358,0,355,3
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,الطعام والشراب,765,87.6,571,0,569,2
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,المطاعم,407,86.9,322,0,320,2
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,المقاهي,411,88.3,289,0,289,0
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,المواقع الطبيعية,1994,84.1,1963,0,1908,55
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,المواقع الأثرية,419,83.9,408,0,406,2
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,التاريخية,1129,85.8,972,3,956,7
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,الدينية,386,86.9,309,0,304,5
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,الفن الصخري,268,83.5,312,0,266,46
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,المواقع الخدمية,1659,85.3,1476,0,1468,8
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,المتاحف,32,84.4,30,0,30,0
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,التنمية والاستثمار,800,84.9,732,1,725,4
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,التراث العالمي,366,83.9,361,0,353,8
أطلس_ليبيا_السياحي_2026_طبقات_منفصلة_حسب_المحاور.xlsx,المدن القديمة,141,96.8,33,2,23,4
